sentiment,id,user,text
Positive,1824042052,ubernell,Got the leases to go over! Its OUR flat nic!! Only 675 for deposit too! 
Negative,2175076356,Amanda_Deee,sooooooo tired of ending the night in a empty bed 
Negative,2202234051,Lov3_killz,@MelodieGore It sucks that your site is down  how much does it cost to keep it running?
Negative,2226346753,snflower99,"@DonnieWahlberg but even with no pay we wil make it work. Gotta live with what ya got, but it does mean less NK's for me "
Negative,2202859663,hillaryxcore,@oliviaftw http://twitpic.com/7iy70 - haha that'd be awesome. arggg i wanna go to warped sooo badlyyyy! 
Positive,1834498315,tifpez,@ohsnapandrew Thats cool  i've decided i'm gonna start doing abit of acoustic work in the summer :/
Negative,2015425685,1stbabygirl,I just woke up and saw my beautiful niece is on Twitter.... I miss my family 
Positive,2181597234,ooochristineooo,@haloHalo45 OMG i'm drinking swiss hazelnut coffee!!  
Negative,2259556929,SoyGabriella,Perfect Day for Margaritas with my lovelys&lt;3 cheers to the BFF's minus 1 
Negative,2243582016,iKandy90,@KOOP90 lol 2 bad its almost 24 hours lata damn n i wanted that ice cream to! lol 
Positive,1573131838,KirstyGrieve,@CocktailChic Procrastinating studies by being on Twitter  ! What do you do - work or study or both?
Negative,1565641820,jayybabz,"is home, feels like the equivalent of a pile of pooopp, ! malade !  txt 8787523,jaiii t'aime beaucoup"
Negative,2054128592,__Lola,"@jeremylenzo No, I can't. I never went to a show of your band. Brazil is so far away "
Negative,2057639977,Dappymooo,Youngest monkey i still awake this is usually a foreboding sign of teething pains 
Positive,1882564603,caffeposto,I slept terribly last night but had a good dream....one of my vendors installed an espresso machine in my house for free. 
Positive,1686391678,Blake1975,@Alyssa_Milano Thanks for the account info for verifying we got rid of a fake Jordan last night thanks to truthtweet down with impostors 
Positive,2189484466,nick_crazys,At work! First day! 
Positive,2018149195,LisaDunkerley,&quot;if you're not a sweet piece of man candy I don't know what is.&quot;   AHAHAHAHHAHAHAHAHAHHAA!! 
Negative,2259649782,agarcia92,"@joshrimer awe you're so lucky! I need a new iPhone, mine cracked  lol"
Positive,2013923070,DearHenry,"Omg, I've watched Paris Hiltons My New BFF and I love it! "
Negative,2014888457,Rosinacarley,"@DoraJarr start monday finish thursday, 4 in 4 days "
Negative,1965385791,luckygnahhh,"@alittletrendy but he was only 39  sorry, I tend to ramble about him,"
Positive,1992072086,chrisloos007,@MissKeriBaby make it happen guuurl!!!  I just gotta call for KNOCK YOU DOWN...at www.blazin989.com
Negative,2236507982,titaniumfish,@coldv lately hey. Now it's not booting my 10.5 DVD. I'm putting 10.4 back on for the time being 
Negative,1984976924,shariselw,@BOSS0515 oh no!!! when are u moving?? will i get to see you before u leave? 
Positive,2062677730,lilbabygirlloz,@kerkat28 KAT!!!  im good how are you?
Negative,2237935508,LOVLEE82,Havent heard from you lately 
Positive,1564073968,kanahina,optimistic for the upcoming week - it's gonna be a great week!  (we'll see how long this lasts... probably only til tomorrow...)
Positive,2013780090,bebe33,@meaglee At least you can have loud parties and sex all over the house til they get home 
Negative,1759717667,littlesweething,"work, work, work... tired "
Positive,1971345997,Pepperfire,"@TomVMorris @StaciJShelton recommended you so strongly, I am now following you.  Hi there."
Negative,1680695869,Russticles,@JPGearing HAHA! thats well appropriate! i need a IIOII tattoo. but now it looks like cutlery next to my plate 
Positive,2001926561,TinyPicTweets,@AmyLoves0322 sorry for the late pic but i got home just yesterday  http://i39.tinypic.com/168e97m http://tinyurl.com/mxduud
Positive,1554464520,Sylverz,Where's the pickle?THAT'S THE SURPRISE! 
Positive,2053091479,caityjones,What am I doing? The usual. 
Negative,2218501451,iamrytragik,Tweetie birds...I'm sleepy yet tired of being in the bed.  having tonsillitis is no fun !
Negative,2250312395,AmyLuong,Teenage Crushes Can Get So Confusing Sometimes ... 
Positive,1833647264,disturbedangel2,@nuchtchas *lol* you know you'd go gay for me and xavie 
Negative,2231602606,wandaGNSH,"@hellosascha see i think @joelmadden thinks the same now. Its not the real the rev, bummed "
Negative,2045152967,Guucccci,sick with strep throat 
Negative,2068114099,musicman128,@chandranikcole Wat about me? 
Positive,2014979352,Jayme1988,@AJM1030 see you later 
Positive,2056390818,kenwilsononline,@DHBromley seems to be wired in a landslide. Just didn't want to reinforce man as machine thing. Maybe my brain got too revved up 
Negative,1978006421,KJL912,@xokaymariexo She does 
Negative,2226691826,countrystar13,just got done working out.tired. 
Positive,2053323603,pinnaj,I think I'll watch some Fresh Prince Episodes  .
Positive,1975848550,rainbow2018,@jsusgrl most porbably bb 
Negative,1793156026,GlastoWatch,"@johnvanham Go on, rub it in will you "
Negative,1678512240,duplicatekey,I forgot to mark my 300th tweet. 
Negative,1694656936,xxsimonex,@BisForBecca But i get scared at anything 
Positive,1996311599,vimpyboy,@LON3WOLF Thanks! 
Negative,2257688375,ricarney,Wedding is over. Was fun. Busy day 2morow grading finals test 
Positive,1977292391,savvygrl,"@Aintialady thanks for the follow Friday btw, I got you next week, k? "
Negative,1981965573,Beaker31,"is following Jon Speed, against my better judgement "
Positive,2015096610,dda,"@minimum12 Besides, anyone who's spent time with Singaporeans and are half awake must've learned about Hokkien... "
Positive,1686026681,cloverdash,"Right, off to watch Wednesday v Cardiff. Hope there's no trouble. (And that the Bluebirds don't batter us, obviously!) Not driving. BEER! "
Positive,1962716895,ambbb,@odamay13 You know who I just love? Becky LaTray! 
Positive,1988987721,vdokng,"@danawhiteblog  Can't wait to find out.  It's already Monday here in Japan, but all good things come to those who wait "
Negative,1690867451,Shannon_Hicks,is bored and about to do some laundry 
Positive,1973106591,dreamfight3r,"@fieza46 you should watch it. Not a Trekkie either, but I enjoy it. Contender for one of the movie of the year, surely "
Negative,2060087585,SteveWorldNet,"I keep thinking I need to call my Mom, but then I realize she's gone. Part of my brain hasn't accepted it yet, I guess. "
Negative,2050436002,steven_anderson,A 7th grade girl just informed me that I stink..!!  **sniff sniff** ... I think I might.  
Positive,2013840762,rush2matt,just came back from a memorable trip at london 
Negative,2065537714,Ashley_oh,@Jncornelius  call me if you need a friend tomorrow.
Positive,2061050081,elysiabrooker,@EricFarewell You're not going to believe it I actually AM wearing tie-dye albeit a grey/black one! I saw it in &amp; went YESSSSS hahaha 
Negative,2059063384,Dukey78,"@EnvyAmor Oh right, oh deary me, not good  hope your ok xx"
Positive,2055901955,aditichak,@loudin i couldn't be happier. thank you  and thanks sooo much for hanging out last night. it was perfect
Positive,1990782052,pppolaroids,"okay, we're finally getting somewhere! "
Negative,2016887127,photoagogo,Not looking forward to hitting up the rmv at all 
Negative,1836581116,rehna_tu,@dharshana My earphone has bid my goodbye!  I kept it sooo safely...and yet!!!
Positive,1680203409,simonbarker,"@simonbarker ah cool, well hope you keep Hunters Mark going in some form, have always thought it was a great site for us Hunters! "
Negative,2260136432,chocolateasian,Turning da t.v off so I can focus on all this stuff I have to read  Da one night when there's loads of good movies to watch!How bout dat?
Positive,1979989910,xfftl8myheartx,@brendyn Oh yea I had plenty 
Negative,2221327813,ravenouspanda,NYT says no to strong abs = good back  http://well.blogs.nytimes.com/2009/06/17/core-myths/?em
Positive,1693722766,ImagesAndWords,"@nickycakes I know, and it can actually be used (and expanded out) as a standalone practice drumkit "
Positive,2178277368,katielovesmcfly,oh yess! shuffle the ipod and on comes jumping all over the world. full volume please 
Positive,2015328389,ramna,@vbadhan you should write a book on 'preparing for CFA in 1 week' 
Positive,2058332632,BonnieHoffman,Link: #Spud! http://tinyurl.com/46sd4p Cool! 
Positive,2061135226,AstraOnTheAir,Off to the hamptons....tearin up beach bar tonite  whooo hooo then landshark on the nautical mile in freeport tomorrow!! Be there!!
Negative,1972798171,wcleveland,I just walked past $10 on the sidewalk and didn't see it... 
Negative,1678065542,greyhoundlover2,I gotta start painting my room 2day  NOOOOOOOOOOOOO!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
Positive,1835887160,Lil_Miss_Clumsy,"@TheRealJordin my brother, sister and I bought my mum one for mothers day "
Negative,2189362913,Hello_Destiny,God damnit. I complain about how fat i am but i'm eating ice cream out of the carton.  this is my last hurrah!
Positive,1685174511,ashleythecat,"okay, everyone needs to tweet #hoppusday cuz that's just too cool that mark is the number one topic  happiness is dorky shit"
Negative,2064070604,gardenqueen1961,sebastian lost p1 
