id,username,text
1881231421,ArunBasilLal,@remzology me too. I dont have a lap on the first place. But pen and paper seems the best choice even if I had.. 
1982667871,indefinite,V-103's old school mix with go-go and reggae is making me homesick  #FB
1833885638,webmaakster,"@pascalleB yeah, how nice "
1835694028,Evangeline_ci,"suddenly want to go home...miss my parents and my little dogs  why couldn't those papers and exams just fuck off, i need a drink"
1956978266,AdamSchwabe,Lovely night out with @curtisnorman @nickwmay and more. Woody's can be fun!  Now: bed.
1834704967,tgwright,Is prising himself out of bed 
2188799998,christinaras,I'm loving twitter right now.... Are you ahving fun??? 
2044240374,DifaJonasLover,@HeartMileyCyrus Thanx for promoting my twitter 
2003217846,ab_linguistics,"Maybe I should say that I will be #INTERPRETING at a sales training, not GOING there or PRESENTING. Just to clarify. "
2182171629,adrianvanity,Finally the sun is out for me to layout. Hell ya. 
1983614151,laura_24,@FrankieTheSats i am soooo gutted i cant come 
1754348683,star_girlsophie,"@tommcfly Can I just clarify that the last comment I sent, about Spanish Orals, means Spanish speaking exam. I got teased for saying it "
1691980029,marcoeatworld,Enjoying my relaxing Sunday 
2060271776,bernadetteolsen,Won't be able to twitter till Monday.. hate being internetless. 
1964496753,Obama1227,I feel like last night was a dream... Well I guess I should say nightmare. 
1823734381,Joey_HXC,really bored! i am not even tired either it really sucks 
2221491640,sgforte,Juz got word from my boss that i nid 2 stay hm for 7 dys n take no pay leave cos i went to aus. 
2188989492,alexxbensonn,Whyyyy? 
2001509411,lemmyxuz,@Stormii I asked Ashton about what force tweet is. that's his answer 
1986839263,meghm,I had quite a sociable day today. I wish I made more $ today 
1970540357,all_access,@clurduff How come ohhilary.net tells me &quot;This IP has been banned&quot; ? 
2053755717,EgyptAlexander,Ok so there's mass twitts about that &quot;Hangover&quot; movie... def bout to go to the show an see tht! Only if today was Wed 
2260898127,uriediculous,wtaf my caps lock button's light doesnt work anymore 
2187665649,sammiejd,FUCK I wanna go get the cd at the store now 
2065733726,tweeteradder1,@rotiprata Get 100 followers a day using www.tweeteradder.com Once you add everyone you are on the train or pay vip 
2051562685,discoletsgo,#followfriday -- @beatlestweets because i love 'em 
2002561027,natwebb,"@caityyy why arent i on your myspace profile bitch, ur on mine "
2063779700,helen_bop,"@mossyrants Okay, tell you what- I, Helen, Empress of the Universe *and* W12, hereby declare you exempt from doing the meme! How's that? "
2176525935,ShanteCurtis,@mayalabeeDC3 ) My silly billyyyyy!â¥ Good morninggg  Or afternoon. I think it's afternoon for you. ) How are you?
2297766738,jgrenell11,I miss my girlfriend  hope you're having a good day @krbarrios
2063040660,gradientracie,"You guys are NEVER going to believe who I hung out with tonight? The guys from Snow Patrol!!!!!! Seriously, I'll upload a pic tomorrow "
2240611366,LMarle,@suegelber @moose2911 Obviously a bad decision by a misguided HR manager... 
1969911923,i_mazhar,coding can be pain in the ass sometimes 
1979427012,shaaqT,@morphiine mine was fab thanks to the yaygirls 
1988917427,laurenivy,Tonight is seriously the best. So glad i went to delaware with lili and kristie to go see some boys 
1989663808,mattcaplin,stuck in shallow sleep and sick all day 
1999803905,kristielinda,Can't wait to sleep after a long cooking class  .... Night night *))
2003878525,irishsgirl68,@danielradcliffe Thanks for following and very excited for Movie release 
1957745188,b4sh18,"Revision Time, Biology exam monday "
1677182499,beckysamways,movie-ing it tonight! :] looks like i have to go docs for my foot now 
2054512006,xbright_eyesx,now i have to go to work... booo work 
1835568401,I_enigma,its' already done - for de-briefing - not interested in publication - too many memories - big bad black ugly ones 
2067574086,mlexiehayden,@MsJuicy313  Well hell in a minute imma see you! Sh*t
2069035876,brandyjoann,hopes my gums get better. please please please. 
2048802974,carrot_girl,@Kitty_Cat2 haha thanks I did. 
1972545176,wammieannie,Yea  why? Im leavin soon
2053244760,Aja_Hobbs,"good morning!! up so early bc i can hardly breathe   still feel like crap, plse god let this weekend heal me"
2187528545,norbs,@korafoto so you want some whole chicken in a can?  
1956588069,checkyesmegan,@minorityx AGREED!  
2188648510,DeAsiaNicole,Talkin to Mark.....why 
2039657530,lotzacatz,"@PhilHarrison Yes, cool eh?! &amp; U follow Simon Ashaan too, magical musician! Thks 4 the blast from the past ! Off to d/load more Bruce "
2188073994,maceyshadows,I remembered my information 
1967999402,AbbyItalia,@javipaz4 I agree but it's still cool that we won 
1470182865,joelcomm,@GailDoby nothing like smiling people holding your book  
2039664285,Silentending,is still studying..  can't wait for my kinesiology session this afternoon... so need it... maybe then i'll have a bath and wine..
2192421891,LullabyLies,Omg I just realized that I could have made my license plate 'careber'  owell MCRMY is perfect! 
2014136951,ashaly04,sitting around and figuring out twitter 
2053463409,dianekristel,Played Sims all day. I turned aging off because I want my Sim to stay a teenager forever. 
1978372256,QuillaB,haha i love you too &quot;partner for lifeee&quot; 
1573151943,david_p_thomas,"I forgot my iPod, no morning music today on the train "
1469393046,FenstarDeLuxe,"my favourite patient died today, what a downer "
1559940461,krystal_fox,"@selenagomez that film is so good, i could see it a million times "
1686199396,KTK_,Looking forward to playing lovely music with Matthew today. Not a euphemism. On my guitar people. 
2259430197,BrandiBabyy07,"We've come so far since that day, and I thought I loved you then... "
1988761331,bes21,"@ddlovato , OMG thats my b'day! "
2233868778,ryangilmore,Tonight was awesome. I'm going to Rhode Island tomorrow!  I'm gonna miss @chrissysweeney though 
2194331607,eileenalouise,I just found out my new Macbook Pro is delayed and now isn't arriving until tomorrow. Boooooooooooooooooo. 
2067217874,simplylizz,@bloodhoundgang oh my god...how awful. i'm so sorry bb  that makes me wanna cry...
2253450875,MikeyLythcott,@poserexplosion ok I decided I like the new safari now. It's more of my distaste for apoplectic products not working. 
2064277442,Dagoblin,@elsua Un-fucking-believable. In LPA is cloudy as shit! 
1881581679,frokltefroire,@musshhh bah bah!  HAHA aku mau liat. post pictures?
2206037798,jyoung21,"@RockwallMike No.  We don't have a car so we're at the mercy of the shuttles. As in 'buses', not 'space'. ;-)"
2063870955,IsaMilano,"@LittlestarRed See you later Donna, have a nice Sunday "
1981826390,Dee2Emm,hates everyone 
2211258016,suebrody1,@tonicate10 Do you guys hang together 4 real? Cool! No one lives in Boston. 
1564132450,ozzyx1409,"at work again, had a nice weekend.... damned rain again "
1680022234,crash_l,Cereal and hannah Montana 
2002427573,prettiPORSH,just ate a big breakfast...now im ready to lay back down...too bad its only tuesday 
2016631389,queeniereyes,Sleeping early tonight. Runny noses suck! 
1685582441,Mirna023,Tossing and turning...decided to turn on the computer again.  And I so wanted to wake up early tomorrow. 
1573493828,twtr_gator,@CoachDeb When you send my signed copy and only if it is as great as your tweets then it will become my recommended reading for tweeps 
2050904619,Me_lis,Yes a sitter for u 
1564690802,debsuvra,@aritra_m There're some great Twitter apps for Mac. How much I miss my hackintosh installation. 
1753601392,Goldyfinch,"@JasonBradbury Oh dear, what a rotten life you lead, NOT! "
1755799633,omgitsmejak,Bored  nd a bit hungry sure ive got worms lol JOKE
2189858956,ChrisHerd,On the bus heading from Luton airport to High Wycombe 
2192178741,koengroeneveld,@audiotherapy again no good  maybe spam filter on your accounts or something...
1977089157,stjulia,@Gabreael Aggggg! That is so not  good 
2186082825,Emma_Bloomfield,im soooo excited about going bowling on tuesday for the 6th grade send off!!  
2183278783,DatGurlNeo,@YoungSimmons I'll watch it! 
2209460666,xokissesfromlo,i love when devin gets home! going with devin and kellie to get my ring resized. ill miss it for a week  lol.
1990784331,kaf195,Off to work at City Year. 
2216034608,Ari_Love_,I'm so bored!!! I miss you Nicholas!!  ):
2265988974,nehzorts,can't believe that there's school tomorrow  I NEED TO GET OVER MY FEAR OF DOGS.
2018733621,MimiSiu,"@MikiPebs Aww, you are too sweet! Thank you for watching! We heart our Sunrise fans! "
1963329269,annijameksa,can I get J. Rathbones e-mail?..please.. 
2189709478,xxlilxxleannexx,I never get ill what wrong with me? Its all come at once 
1986944903,mzlilshorty323,just got home 
1832817060,poetryluver,feels bad because her baby is so unhappy... I'm unhappy too baby!...  unhappy without you... 
2064210523,DeirdreArdagh,working on a Sunday  it'll be worth it..it'll be worth it!!!
